;time;x;y;z;activity
1690;1970-01-01 23:55:26.496358400;-1.7994029999999999;-3.06042;4.63729;forward_180
687;1970-01-01 23:52:56.692596736;5.8456660000000005;-5.008178;-13.093525999999999;forward_180
2086;1970-01-01 23:55:34.129991680;-8.386844;-11.913864;2.148755;forward_180
159;1970-01-02 00:00:46.362370048;-7.439286;-4.742575;8.583055;forward_180
1698;1970-01-01 23:55:26.647353344;-1.222732;-0.20339000000000002;1.064806;forward_180
2390;1970-01-02 00:00:27.546722304;2.754139;-8.353344;-2.711068;forward_180
2148;1970-01-02 00:00:22.882656256;-7.886744;-1.7754740000000002;-7.345965;forward_180
992;1970-01-02 00:00:00.577347584;4.06062;-6.077769;-12.361321;forward_180
514;1970-01-01 23:52:53.353930752;8.114061;-8.851051;-24.650858;forward_180
2701;1970-01-01 23:53:35.624126464;4.740181;-13.677373999999999;-8.080561999999999;forward_180
2866;1970-01-02 00:01:38.648563712;-3.864408;-4.503292;0.9403790000000001;forward_180
2066;1970-01-02 00:00:21.297209344;2.0099709999999997;-6.946364;-2.4574290000000003;forward_180
2763;1970-01-02 00:01:36.660463616;-2.368894;-8.937192999999999;-7.209575;forward_180
107;1970-01-01 23:54:55.852773376;8.003992;-9.760324;12.38525;forward_180
407;1970-01-01 23:52:51.290333184;4.941179;-1.512264;-5.460421;forward_180
907;1970-01-01 23:53:00.937232384;7.695317999999999;-5.883951000000001;-3.0939200000000002;forward_180
529;1970-01-01 23:52:53.647532032;19.633110000000002;-1.37348;-0.48335;forward_180
2393;1970-01-02 00:00:27.605442560;-7.4345;-13.351951000000001;-7.527819999999999;forward_180
1371;1970-01-02 00:00:07.892213760;2.4239290000000002;-5.855237000000001;0.729811;forward_180
182;1970-01-01 23:59:44.932593664;-1.45005;-5.958128;-3.091527;forward_180
944;1970-01-02 00:01:01.545750528;3.3451660000000003;-9.779466000000001;-10.145567999999999;forward_180
1912;1970-01-02 00:01:20.235569152;-34.803604;-13.789837;-31.489546;forward_180
351;1970-01-01 23:55:00.617502720;18.867407;-19.728823000000002;-0.794417;forward_180
1906;1970-01-01 23:53:20.289751040;17.740387;2.907279;4.39083;forward_180
463;1970-01-01 23:52:52.372463616;-1.847259;-8.599805;-2.641676;forward_180
2366;1970-01-01 23:55:39.532255232;4.6013980000000005;2.074577;4.632504;forward_180
2577;1970-01-02 00:01:33.061750784;-9.171689;-2.9958139999999998;-7.039683999999999;forward_180
2493;1970-01-02 00:01:31.442749440;-10.425529;-4.3716870000000005;-4.273581;forward_180
405;1970-01-01 23:59:49.235949568;5.812166;-7.881958;-5.903093;forward_180
1255;1970-01-02 00:00:05.652455424;-6.195018;-1.552942;-6.695117999999999;forward_180
586;1970-01-01 23:59:52.725610496;-5.568098;-4.8813580000000005;2.715854;forward_180
1262;1970-01-02 00:01:07.677822976;-5.871987;-6.070591;-6.4175510000000004;forward_180
298;1970-01-01 23:52:49.176403968;8.860622;-7.300502000000001;-3.098705;forward_180
418;1970-01-01 23:55:01.909348352;0.6675979999999999;-1.847259;-1.119841;forward_180
1908;1970-01-02 00:00:18.252144640;0.354138;-4.986642;-12.062219;forward_180
1730;1970-01-02 00:00:14.812815360;-12.205789;-4.2831529999999995;-24.055046;forward_180
593;1970-01-01 23:59:52.859828224;10.896914;-14.220545000000001;-7.13779;forward_180
1606;1970-01-02 00:01:14.338377728;-9.743574;-0.507278;-13.476377;forward_180
252;1970-01-01 23:54:58.704900096;5.481955999999999;-5.067998;-5.309673;forward_180
2215;1970-01-02 00:01:26.082428928;-7.4033929999999994;-5.560919999999999;4.261617;forward_180
1555;1970-01-01 23:55:23.887501312;4.522435;0.985843;2.868994;forward_180
2700;1970-01-01 23:55:46.058592256;4.914858000000001;0.48095699999999997;-0.22253299999999998;forward_180
2069;1970-01-02 00:01:23.263856640;-17.123039000000002;-14.316257;-9.573684;forward_180
1778;1970-01-02 00:00:15.743950848;-8.226524000000001;-2.737389;-13.569697;forward_180
952;1970-01-01 23:59:59.805595648;-16.735401;-25.514668;-8.243274000000001;forward_180
1621;1970-01-01 23:55:25.162569728;2.029114;-8.362915;-17.704494;forward_180
2934;1970-01-01 23:53:40.137197568;23.507089999999998;-11.01177;1.5290139999999999;forward_180
190;1970-01-01 23:59:45.083588608;1.8281169999999998;-8.855837;-0.409173;forward_180
1872;1970-01-01 23:55:30.002796544;15.661024;-3.3188449999999996;4.783252;forward_180
2132;1970-01-01 23:55:35.019184128;12.263216;-9.705289;3.912265;forward_180
895;1970-01-02 00:01:00.597837824;2.684747;-5.113462;0.760918;forward_180
2151;1970-01-02 00:01:24.849303552;-3.8237300000000003;-4.610969;-7.353144;forward_180
262;1970-01-02 00:00:48.350470144;-10.631311;0.42831499999999995;-7.590033999999999;forward_180
1786;1970-01-01 23:53:17.974495232;-2.06022;-7.018149;-5.491528;forward_180
2024;1970-01-02 00:00:20.483514368;2.768496;-11.38505;-9.004191;forward_180
1834;1970-01-01 23:53:18.914019328;-2.632105;-18.860228;-0.004786;forward_180
2560;1970-01-02 00:01:32.742983680;-1.0289139999999999;-3.055634;-6.778867;forward_180
2284;1970-01-02 00:00:25.499901952;1.246661;-2.3401810000000003;-5.544169999999999;forward_180
1940;1970-01-02 00:00:18.881290240;-4.596612;-8.740981;-7.62114;forward_180
1071;1970-01-01 23:55:14.509037568;11.808579;-20.408383999999998;-8.841479;forward_180
1711;1970-01-02 00:00:14.452105216;-3.129812;-5.089534;-0.138784;forward_180
237;1970-01-01 23:59:45.989558272;2.59382;-6.549156;-1.0791629999999999;forward_180
1641;1970-01-01 23:53:15.139145728;-2.084148;-12.016755;6.5682979999999995;forward_180
2261;1970-01-01 23:53:27.134855168;7.846066;-6.159125;-3.6203410000000003;forward_180
2344;1970-01-02 00:00:26.665918464;-8.707481;-9.037691;-2.823531;forward_180
1186;1970-01-02 00:00:04.318666752;-4.208975;-9.348758;-10.432707;forward_180
1483;1970-01-02 00:00:10.048086016;-25.569702;-20.214565;-22.057039000000003;forward_180
660;1970-01-02 00:00:56.067989504;-16.943576999999998;-0.141177;-17.060825;forward_180
1503;1970-01-02 00:00:10.433961984;-2.6392830000000003;3.912265;-6.233303;forward_180
3319;1970-01-01 23:53:47.611447296;24.947569;-25.998018;-1.0480559999999999;forward_180
2119;1970-01-02 00:01:24.228546560;-10.384851;-7.719246000000001;-6.867400999999999;forward_180
669;1970-01-01 23:59:54.344611840;-4.689932;-12.464213;-11.397015;forward_180
822;1970-01-01 23:55:09.710753792;8.444271;-5.883951000000001;-4.106084;forward_180
2525;1970-01-02 00:01:32.063506432;-15.175282000000001;-3.98405;-6.3170519999999994;forward_180
364;1970-01-01 23:59:48.439031808;-6.3170519999999994;-11.767901;8.319844;forward_180
1808;1970-01-02 00:01:18.230691840;-17.936598;8.968299;-3.019742;forward_180
414;1970-01-02 00:00:51.320037376;-9.104691;-2.208575;-0.806381;forward_180
1448;1970-01-02 00:00:09.376997376;-7.819744999999999;-8.159525;-20.554346;forward_180
132;1970-01-01 23:59:43.967903744;13.150953;-11.612369000000001;-0.107677;forward_180
1102;1970-01-02 00:00:02.699665408;0.765703;-21.549761;-1.426122;forward_180
1792;1970-01-02 00:01:17.920313344;-8.595019;-10.79163;-4.350152;forward_180
2207;1970-01-02 00:01:25.931433984;-30.786057;16.632510999999997;-14.802001;forward_180
284;1970-01-01 23:59:46.895527936;-7.410572;-6.556334;-5.67099;forward_180
547;1970-01-01 23:59:51.970635776;15.905092000000002;-8.822337;1.071985;forward_180
31;1970-01-01 23:54:54.384766976;2.268396;-16.706688;-2.632105;forward_180
569;1970-01-02 00:00:54.306381824;2.904887;-11.009377;-3.3930230000000003;forward_180
203;1970-01-01 23:59:45.335246848;-2.6392830000000003;0.473779;-2.304288;forward_180
989;1970-01-02 00:00:00.518627328;-11.162517999999999;-16.627724;-13.318451000000001;forward_180
326;1970-01-01 23:55:00.139352064;1.505085;-9.090333;-4.273581;forward_180
569;1970-01-01 23:59:52.398454784;-6.269196;-17.635103;-3.9673;forward_180
655;1970-01-01 23:52:56.080228352;-2.301895;-10.224530999999999;3.9003010000000002;forward_180
1936;1970-01-02 00:00:18.789015552;0.59342;2.694318;-0.57667;forward_180
756;1970-01-01 23:59:56.022333440;-7.154539999999999;-11.272588;-11.866008;forward_180
831;1970-01-01 23:55:09.878525952;4.938786;-7.757531;-4.156333;forward_180
2569;1970-01-01 23:55:43.449735168;4.366901;-6.987042;4.886144;forward_180
1377;1970-01-01 23:53:10.030483456;14.821143;-7.226325;6.017949;forward_180
392;1970-01-01 23:55:01.406031872;36.306297;-13.739588000000001;-8.597412;forward_180
1081;1970-01-01 23:55:14.701975552;-0.23928200000000002;-9.786645;-7.872386;forward_180
996;1970-01-02 00:00:00.652845056;-22.277179999999998;-15.637096;-46.325047;forward_180
54;1970-01-01 23:59:42.457954304;-1.174876;-10.128819;-9.255438;forward_180
3738;1970-01-01 23:53:55.731619840;6.886544000000001;1.2011969999999998;-20.499311;forward_180
2916;1970-01-01 23:53:39.793264640;7.034899;-4.524826999999999;-1.4979069999999999;forward_180
326;1970-01-01 23:52:49.713274880;10.997413;-1.021735;5.201996;forward_180
2187;1970-01-02 00:00:23.629242368;-14.359328;-9.05444;5.3407800000000005;forward_180
1101;1970-01-02 00:01:04.574038016;-15.876378;-19.372292;-8.195416999999999;forward_180
1348;1970-01-01 23:55:19.852580864;14.38565;-4.314259;4.706682;forward_180
1136;1970-01-02 00:01:05.245126656;-38.71587;12.387642999999999;-42.381676;forward_180
1958;1970-01-02 00:01:21.124761600;-3.74716;-3.081956;-7.183253999999999;forward_180
2336;1970-01-02 00:01:28.414461952;11.210374;-8.480164;-1.239482;forward_180
1893;1970-01-02 00:00:17.958543360;-2.213361;-6.151947;1.521835;forward_180
1954;1970-01-02 00:00:19.132948480;-10.3681;-2.2875389999999998;-9.279366;forward_180
3632;1970-01-01 23:53:53.684799488;15.510276999999999;8.743374000000001;1.753939;forward_180
945;1970-01-02 00:01:01.562527744;3.383451;-10.470991999999999;-10.645667999999999;forward_180
2855;1970-01-02 00:01:38.430459904;3.460021;-4.9603209999999995;-8.470592;forward_180
3263;1970-01-01 23:53:46.529316864;16.130018;6.130412000000001;2.622534;forward_180
892;1970-01-01 23:59:58.647967744;-7.939385000000001;-11.49512;6.482157;forward_180
208;1970-01-01 23:59:45.435910144;-1.9310080000000003;-9.990034;-15.55574;forward_180
2286;1970-01-01 23:53:27.621394432;16.457834;6.384051;-5.058427;forward_180
1683;1970-01-02 00:01:15.823161344;-16.161123;-15.771094;-9.186047;forward_180
