;time;x;y;z;activity
908;1970-01-02 01:00:28.230877184;-1.634298;1.8065810000000002;-1.440479;jump_slow
125;1970-01-02 00:59:37.630793728;8.616553999999999;-5.149354;-3.692125;jump_slow
571;1970-01-02 01:00:21.620654080;0.327817;0.662812;-0.660419;jump_slow
447;1970-01-01 21:17:08.075520000;0.660419;-10.626525;1.947758;jump_slow
95;1970-01-01 01:06:50.557579264;-1.607977;-7.838887;-4.620541;jump_slow
441;1970-01-01 01:06:57.231339520;4.85743;-5.017749;-9.439685;jump_slow
314;1970-01-01 01:06:54.782521344;-0.705883;-8.094919;1.832902;jump_slow
116;1970-01-02 00:59:37.471410176;-0.083749;-6.0418769999999995;-1.758725;jump_slow
1611;1970-01-02 01:00:41.912696832;7.030113;-11.212767;-9.05444;jump_slow
547;1970-01-01 01:06:59.276685312;-0.5001;-15.144175;-11.298908;jump_slow
505;1970-01-01 11:39:41.073465344;1.15334;-4.754539;0.545564;jump_slow
186;1970-01-01 11:39:34.916227072;1.380659;0.10528399999999999;-1.038485;jump_slow
918;1970-01-01 21:17:17.185548288;-1.378266;-4.969893;-2.4574290000000003;jump_slow
1377;1970-01-02 01:00:37.399625728;-20.63331;2.629712;-12.940385000000001;jump_slow
813;1970-01-01 01:07:04.409497600;-1.588834;-0.708275;0.9260219999999999;jump_slow
1095;1970-01-01 11:39:52.461000704;8.054241000000001;-14.634503;-4.180261;jump_slow
217;1970-01-01 01:06:52.911042560;-3.046063;-11.739188;1.5481559999999999;jump_slow
1608;1970-01-01 11:40:02.380529664;1.68694;3.4719860000000002;-0.5144569999999999;jump_slow
290;1970-01-02 01:00:16.688152576;1.801795;1.337588;0.928415;jump_slow
1389;1970-01-02 01:00:37.626118144;-1.098306;-15.328422;-3.3355949999999996;jump_slow
885;1970-01-01 11:39:48.405108736;0.988236;-7.970492;1.830509;jump_slow
2888;1970-01-01 21:16:07.308443648;-2.7948169999999997;-16.962719;-8.810373;jump_slow
479;1970-01-01 21:17:08.704665600;10.939985;-13.399807000000001;-9.810573;jump_slow
2639;1970-01-01 21:16:02.468216832;24.430719;-6.04427;-9.829716000000001;jump_slow
1071;1970-01-01 11:39:51.995432960;-1.433301;-0.083749;2.861816;jump_slow
173;1970-01-01 01:06:52.063367168;2.98385;-0.069392;2.916851;jump_slow
846;1970-01-01 11:39:47.654328320;0.569492;2.754139;-0.564706;jump_slow
2262;1970-01-01 21:15:55.178516480;7.5326059999999995;-8.13799;-7.109075999999999;jump_slow
1442;1970-01-01 11:39:59.176081408;9.810573;-16.347765;5.513063;jump_slow
1502;1970-01-02 01:00:39.807156224;-1.6510479999999998;1.509871;-0.019143;jump_slow
67;1970-01-01 21:17:00.743876608;0.57667;-0.679562;-0.775275;jump_slow
481;1970-01-01 11:39:40.607897600;4.462614;-10.858628999999999;-4.094119999999999;jump_slow
707;1970-01-01 11:39:44.969973760;5.331208999999999;-13.890335;2.096113;jump_slow
325;1970-01-01 01:06:54.994857984;0.691526;-1.572084;-1.2514459999999998;jump_slow
1674;1970-01-01 11:40:03.655598080;4.551149;-13.117454;-3.8548370000000003;jump_slow
599;1970-01-01 01:07:00.280107008;-6.735796000000001;-5.063212999999999;-9.839286999999999;jump_slow
391;1970-01-01 01:06:56.267763712;0.863809;-7.135397;-8.597412;jump_slow
601;1970-01-01 21:17:11.045087232;1.428515;-19.989641;-6.594619000000001;jump_slow
206;1970-01-01 21:17:03.428231168;1.272982;-12.29193;0.44745799999999997;jump_slow
808;1970-01-01 01:07:04.318402560;4.130012000000001;-2.5842490000000002;3.5724839999999998;jump_slow
385;1970-01-01 11:39:38.758209536;5.663811;-4.845466;1.217947;jump_slow
1352;1970-01-01 11:39:57.439639552;9.650253;-15.763916;8.262417;jump_slow
622;1970-01-01 01:07:00.722704384;-0.636491;-5.5537410000000005;-3.5964120000000004;jump_slow
1840;1970-01-01 11:40:06.855852032;-7.499105999999999;-9.549755000000001;7.429714;jump_slow
222;1970-01-01 11:39:35.608287232;-3.424129;-15.50549;-9.052048;jump_slow
221;1970-01-01 01:06:52.988112896;4.2711879999999995;-2.464607;2.376073;jump_slow
785;1970-01-01 01:07:03.869906944;-0.284746;-5.063212999999999;-10.992627;jump_slow
853;1970-01-01 01:07:05.182887936;-1.4979069999999999;-4.867001;0.717847;jump_slow
1795;1970-01-01 11:40:05.987631104;39.948174;-11.91865;-0.859023;jump_slow
1020;1970-01-01 21:17:19.148482560;0.691526;-0.5718850000000001;-1.105484;jump_slow
1915;1970-01-01 21:15:48.408909824;4.587041;-0.16031900000000002;-1.18684;jump_slow
814;1970-01-01 21:17:15.180670976;1.823331;2.249253;-2.646462;jump_slow
2684;1970-01-01 21:16:03.340632064;8.470592;-7.087541000000001;-2.383251;jump_slow
292;1970-01-01 11:39:36.958853120;40.902912;-6.984649;-1.445265;jump_slow
2582;1970-01-01 21:16:01.428029440;11.854042999999999;-6.448657;-2.897708;jump_slow
257;1970-01-01 11:39:36.283570176;4.74736;-10.131211;-5.233103;jump_slow
2723;1970-01-01 21:16:04.095606784;3.20399;0.267996;-2.251646;jump_slow
833;1970-01-01 21:17:15.541381120;-5.012963;-1.119841;-5.099105000000001;jump_slow
322;1970-01-01 01:06:54.939578368;1.031307;-1.229911;0.12203399999999999;jump_slow
1236;1970-01-01 11:39:55.204075520;-5.460421;-14.457435;-5.405386;jump_slow
380;1970-01-01 21:17:06.783674368;-3.850052;-14.763716;0.98345;jump_slow
455;1970-01-01 01:06:57.501413376;-5.879165;-9.482756;-8.961121;jump_slow
618;1970-01-01 11:39:43.254503424;8.872586;-12.509677;-3.5700910000000006;jump_slow
1481;1970-01-01 21:17:28.040407040;17.3025;-5.508278;-4.2041889999999995;jump_slow
1211;1970-01-01 21:17:22.839470080;-3.002992;2.112862;-1.124627;jump_slow
1095;1970-01-01 21:17:20.599711744;2.490928;-6.266801999999999;3.558127;jump_slow
1419;1970-01-02 01:00:38.213320704;-26.522046999999997;-15.601204000000001;-26.244478000000004;jump_slow
847;1970-01-01 11:39:47.675299840;1.045663;3.055634;-1.454836;jump_slow
189;1970-01-01 01:06:52.371746816;-18.096918;-21.537796;-10.042677000000001;jump_slow
854;1970-01-01 01:07:05.203728384;-2.330609;-3.8285160000000005;4.486542;jump_slow
31;1970-01-01 21:17:00.056010752;17.357536;-12.358929;-7.41775;jump_slow
1177;1970-01-02 01:00:33.524088832;-11.181661;-2.1415759999999997;-7.996813;jump_slow
1566;1970-01-01 11:40:01.571028992;1.603191;2.486143;-2.045863;jump_slow
139;1970-01-01 21:17:02.136385536;-2.591427;-17.254644;-4.768896;jump_slow
815;1970-01-01 01:07:04.446132224;-2.328216;-1.402194;-0.09332;jump_slow
445;1970-01-02 01:00:19.271843840;-4.505685;-2.498107;2.1942180000000002;jump_slow
907;1970-01-01 11:39:48.832927744;1.2370889999999999;-14.220545000000001;-7.429714;jump_slow
2250;1970-01-01 21:15:54.943635456;3.993621;-12.277573;-3.948157;jump_slow
711;1970-01-01 21:17:13.192570880;0.200997;1.933401;-1.9908279999999998;jump_slow
1124;1970-01-02 01:00:32.500678656;-16.704294;0.8494520000000001;-13.715659;jump_slow
255;1970-01-01 01:06:53.645471744;-3.527021;-7.939385000000001;-11.229517;jump_slow
1005;1970-01-01 11:39:50.724558848;-4.8765730000000005;-9.461221;-9.305686999999999;jump_slow
390;1970-01-01 21:17:06.985000960;9.88475;-8.118847;-13.318451000000001;jump_slow
1322;1970-01-02 01:00:36.334272512;6.101698000000001;-6.175875;-10.624132000000001;jump_slow
338;1970-01-01 01:06:55.245565952;-12.717853;-14.292329999999998;-6.585048;jump_slow
496;1970-01-02 01:00:20.177813504;-1.727618;-1.052842;2.596213;jump_slow
1238;1970-01-01 21:17:23.359563776;19.188046;-11.356337;-4.7306099999999995;jump_slow
1364;1970-01-01 11:39:57.678714880;2.2875389999999998;-9.731608999999999;-6.0418769999999995;jump_slow
450;1970-01-01 11:39:40.012306432;6.750153;-18.893728;-3.976871;jump_slow
1378;1970-01-01 11:39:57.942956032;8.480164;-19.913071;-7.544569999999999;jump_slow
693;1970-01-01 11:39:44.701538304;3.675375;-10.545169999999999;-3.586841;jump_slow
364;1970-01-01 01:06:55.746162688;-2.275574;-7.089933;-1.378266;jump_slow
777;1970-01-01 01:07:03.713603584;-22.841885;-17.441284;-11.983255;jump_slow
647;1970-01-01 01:07:01.205016576;-0.9762719999999999;-8.769695;-6.374479;jump_slow
1275;1970-01-02 01:00:35.428302848;-21.052053;0.325424;-2.122434;jump_slow
1172;1970-01-01 21:17:22.084495360;-6.443871;-16.254444;-1.636691;jump_slow
433;1970-01-01 01:06:57.076903936;-32.762527;-18.886549;-14.593825;jump_slow
222;1970-01-01 01:06:53.007708160;3.436093;-1.631905;2.589034;jump_slow
1839;1970-01-01 11:40:06.839074816;-5.647061;-8.499305999999999;7.2574309999999995;jump_slow
714;1970-01-02 01:00:24.414060544;-0.236889;2.538785;-0.052641999999999994;jump_slow
359;1970-01-02 01:00:17.996775424;0.9020940000000001;-11.353944;-9.731608999999999;jump_slow
1223;1970-01-01 21:17:23.065962496;2.3258240000000003;-23.947369000000002;-1.332802;jump_slow
