time,ac-x,ac-y,ac-z,gyr-x,gyr-y,gyr-z
2020-02-12 13:31:07.679,-0.276855,0.484863,-1.766357,162.200912,76.782227,-87.554924
2020-02-12 13:31:07.682,-0.333008,0.468506,-1.816406,162.933334,76.019287,-90.972893
2020-02-12 13:31:07.684,-0.374268,0.449951,-1.856689,163.970932,73.791504,-93.475334
2020-02-12 13:31:07.687,-0.393555,0.413574,-1.883057,161.865219,66.406250,-100.433342
2020-02-12 13:31:07.689,-0.408691,0.370850,-1.898926,154.937744,56.793209,-103.851311
2020-02-12 13:31:07.692,-0.425049,0.337891,-1.901855,146.301270,45.837399,-101.318352
2020-02-12 13:31:07.694,-0.450195,0.315430,-1.890381,134.857178,36.041260,-94.818108
2020-02-12 13:31:07.697,-0.488281,0.305176,-1.865234,124.145500,29.266356,-87.005608
2020-02-12 13:31:07.699,-0.543213,0.303955,-1.832275,114.501945,23.101805,-78.948975
2020-02-12 13:31:07.702,-0.613281,0.311523,-1.802246,106.384270,18.890381,-70.739746
2020-02-12 13:31:07.704,-0.693848,0.327393,-1.776855,99.853508,17.211914,-63.201900
2020-02-12 13:31:07.707,-0.780029,0.346191,-1.752930,94.726555,18.585205,-55.694576
2020-02-12 13:31:07.710,-0.861084,0.367676,-1.729004,91.552727,21.728514,-50.323483
2020-02-12 13:31:07.712,-0.938477,0.395996,-1.705811,90.606682,25.329588,-47.424313
2020-02-12 13:31:07.715,-1.011719,0.425537,-1.690186,90.393059,30.059813,-45.959469
2020-02-12 13:31:07.717,-1.085205,0.465576,-1.683105,89.691154,35.736084,-41.381832
2020-02-12 13:31:07.719,-1.169189,0.518555,-1.685791,87.951653,42.358395,-32.836914
2020-02-12 13:31:07.722,-1.266602,0.580811,-1.697754,86.669914,49.835201,-23.803709
2020-02-12 13:31:07.724,-1.383789,0.654297,-1.716309,85.693352,57.739254,-15.319823
2020-02-12 13:31:07.727,-1.519287,0.739014,-1.746582,86.700432,66.375732,-8.239746
2020-02-12 13:31:07.729,-1.668213,0.828857,-1.791992,88.043205,74.340820,-2.563476
2020-02-12 13:31:07.732,-1.820557,0.921387,-1.848877,89.843742,81.390373,0.030518
2020-02-12 13:31:07.734,-1.979736,1.018066,-1.910889,93.017570,85.357658,1.556396
2020-02-12 13:31:07.737,-2.150879,1.118408,-1.985352,95.825188,87.432854,4.913330
2020-02-12 13:31:07.739,-2.337646,1.219482,-2.060059,97.137444,88.745110,8.453369
2020-02-12 13:31:07.742,-2.531982,1.322021,-2.137207,99.029533,89.080803,11.077880
2020-02-12 13:31:07.744,-2.727783,1.425537,-2.218750,98.388664,88.714592,11.932372
2020-02-12 13:31:07.747,-2.926025,1.530029,-2.296631,96.527092,88.775627,14.190673
2020-02-12 13:31:07.750,-3.117188,1.629395,-2.364258,95.031731,87.432854,17.944336
2020-02-12 13:31:07.752,-3.278809,1.725098,-2.415771,93.048088,83.953850,21.881102
2020-02-12 13:31:07.755,-3.399170,1.818604,-2.449219,91.186516,82.031242,25.360106
2020-02-12 13:31:07.757,-3.493896,1.909668,-2.466553,88.592522,82.214348,31.829832
2020-02-12 13:31:07.759,-3.580566,1.999268,-2.472168,85.937492,83.618156,40.527340
2020-02-12 13:31:07.762,-3.663574,2.089600,-2.468262,81.939690,83.709709,48.828121
2020-02-12 13:31:07.764,-3.730957,2.178955,-2.461670,77.423096,84.503166,55.145260
2020-02-12 13:31:07.767,-3.788818,2.265137,-2.454102,74.615479,85.906975,58.227535
2020-02-12 13:31:07.770,-3.844971,2.350830,-2.446289,73.669434,87.676994,59.570309
2020-02-12 13:31:07.772,-3.907715,2.434570,-2.440186,72.937012,88.439934,60.119625
2020-02-12 13:31:07.774,-3.983398,2.516357,-2.436035,71.685791,88.531487,59.265133
2020-02-12 13:31:07.777,-4.066895,2.593506,-2.432617,71.258545,87.951653,58.959957
2020-02-12 13:31:07.779,-4.158203,2.665039,-2.433594,70.434570,88.714592,58.685299
2020-02-12 13:31:07.782,-4.254883,2.733887,-2.443604,71.533203,90.362541,61.645504
2020-02-12 13:31:07.784,-4.346191,2.801514,-2.470215,70.831299,93.749992,66.345215
2020-02-12 13:31:07.787,-4.424316,2.872070,-2.491455,68.878174,95.001213,69.793701
2020-02-12 13:31:07.789,-4.474365,2.942383,-2.492920,66.040039,91.003410,74.554443
2020-02-12 13:31:07.792,-4.498047,3.005371,-2.478271,60.943600,88.165276,79.315186
2020-02-12 13:31:07.795,-4.508301,3.067627,-2.455322,56.640621,87.219231,85.784904
2020-02-12 13:31:07.797,-4.517334,3.131104,-2.436035,54.046627,89.569084,92.224113
2020-02-12 13:31:07.800,-4.530518,3.193848,-2.419189,53.375240,91.247551,98.876945
2020-02-12 13:31:07.802,-4.543457,3.254883,-2.407227,52.581783,93.933098,105.285637
2020-02-12 13:31:07.804,-4.544434,3.312256,-2.396729,49.926754,95.306389,110.015862
2020-02-12 13:31:07.807,-4.532227,3.371582,-2.378662,47.668453,94.726555,111.877434
2020-02-12 13:31:07.809,-4.524170,3.436768,-2.357666,47.088619,92.224113,117.889397
2020-02-12 13:31:07.812,-4.534668,3.512939,-2.342529,44.555660,91.308586,128.631592
2020-02-12 13:31:07.814,-4.548340,3.587402,-2.329590,40.435787,91.766350,140.655518
2020-02-12 13:31:07.817,-4.554199,3.659668,-2.309570,37.170410,91.888420,150.451660
2020-02-12 13:31:07.819,-4.542480,3.736084,-2.282471,34.820557,90.820305,157.897949
2020-02-12 13:31:07.822,-4.509033,3.831543,-2.245605,34.332275,89.416496,164.611801
2020-02-12 13:31:07.824,-4.471436,3.940430,-2.199707,32.287598,87.219231,171.844467
2020-02-12 13:31:07.827,-4.444580,4.057373,-2.158691,28.625486,85.906975,180.419907
2020-02-12 13:31:07.829,-4.451416,4.187012,-2.123535,27.343748,86.303703,190.155014
2020-02-12 13:31:07.832,-4.499756,4.329346,-2.097900,27.404783,88.317863,206.359848
2020-02-12 13:31:07.835,-4.545898,4.468506,-2.070313,26.245115,91.461174,207.366928
